,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn
6035,1,Yes,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Electronic check,110.85,1
5339,0,Yes,Yes,30,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,85.45,0
6622,0,No,No,2,Yes,Yes,DSL,No,No,No,No,Month-to-month,No,Others,62.05,1
3851,0,Yes,Yes,46,Yes,No,No,No,No,No,No,Two year,Yes,Others,19.25,0
735,0,Yes,Yes,32,No,No,DSL,No,No,Yes,No,Month-to-month,No,Others,50.6,0
727,0,Yes,Yes,5,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,80.85,0
5911,0,Yes,No,7,No,No,DSL,Yes,Yes,No,No,Month-to-month,No,Others,34.2,0
3419,0,Yes,Yes,69,Yes,No,Fiber optic,No,Yes,No,Yes,Two year,Yes,Others,92.15,0
4045,0,No,No,14,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Others,71.0,1
4232,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Others,69.95,1
2558,0,No,No,38,Yes,No,No,No,No,No,No,One year,No,Others,20.05,0
6554,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,68.65,1
3604,0,Yes,Yes,38,Yes,No,No,No,No,No,No,Month-to-month,No,Electronic check,19.6,0
4096,0,No,No,20,Yes,No,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Others,89.4,0
4857,0,No,No,20,No,No,DSL,No,No,No,No,Month-to-month,No,Others,24.9,0
4310,0,No,No,72,No,No,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Others,65.6,0
554,0,No,No,32,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Others,80.35,1
5685,0,Yes,Yes,45,Yes,No,No,No,No,No,No,Two year,No,Electronic check,19.2,0
6718,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,No,Others,75.0,1
1291,0,Yes,No,8,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,No,Electronic check,75.0,1
3545,0,No,No,50,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,95.7,0
5883,0,No,No,13,Yes,No,No,No,No,No,No,Month-to-month,Yes,Others,20.3,0
5663,0,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,95.25,0
4901,0,No,No,1,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,74.7,1
4269,0,Yes,No,17,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Month-to-month,No,Others,90.2,1
4313,0,No,No,23,Yes,No,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Others,79.1,0
3443,1,Yes,No,40,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,One year,Yes,Others,98.15,0
4011,0,Yes,Yes,23,Yes,No,No,No,No,No,No,Two year,Yes,Others,19.65,0
3385,0,No,No,12,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,96.05,1
5079,0,No,No,15,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,No,Electronic check,95.7,0
1408,0,Yes,No,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,One year,Yes,Others,104.1,0
3640,1,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,95.9,1
2953,0,Yes,Yes,20,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Others,105.85,1
141,0,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,Month-to-month,No,Electronic check,71.15,1
5108,0,No,No,23,Yes,No,DSL,No,No,Yes,No,Month-to-month,No,Others,49.7,0
3303,0,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,No,Others,77.95,1
6389,0,Yes,Yes,58,Yes,No,No,No,No,No,No,Two year,No,Others,19.55,0
5499,1,No,No,15,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,79.4,1
4933,0,No,Yes,4,No,No,DSL,Yes,Yes,Yes,No,Month-to-month,Yes,Others,57.2,0
2059,0,Yes,Yes,37,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,92.95,0
5738,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,No,Others,20.6,1
13,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Others,103.7,1
6423,0,Yes,Yes,72,Yes,Yes,No,No,No,No,No,Two year,No,Others,24.25,0
3052,0,Yes,No,37,Yes,Yes,DSL,Yes,No,No,No,Month-to-month,Yes,Others,55.05,0
4681,1,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,83.85,1
6355,0,No,No,68,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Two year,No,Others,110.25,0
1084,0,Yes,Yes,52,Yes,No,No,No,No,No,No,One year,No,Others,19.6,0
2506,1,Yes,No,72,Yes,Yes,No,No,No,No,No,Two year,No,Others,24.3,0
2144,0,No,No,3,Yes,No,DSL,No,No,No,Yes,Month-to-month,Yes,Others,50.5,0
5118,0,Yes,No,42,Yes,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Others,85.9,0
519,0,No,No,12,Yes,No,No,No,No,No,No,Month-to-month,No,Others,20.05,0
2041,0,No,No,7,Yes,No,No,No,No,No,No,Two year,No,Others,19.45,0
3384,0,Yes,Yes,4,Yes,No,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,73.75,1
4747,0,No,No,35,Yes,No,No,No,No,No,No,One year,No,Others,20.6,0
328,1,Yes,Yes,28,No,No,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,35.9,0
1610,0,Yes,Yes,51,Yes,No,DSL,Yes,Yes,No,Yes,Two year,No,Others,60.5,0
4553,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Others,115.8,0
5223,0,Yes,No,61,Yes,Yes,No,No,No,No,No,Two year,No,Others,25.45,0
5721,0,No,No,27,Yes,No,DSL,Yes,Yes,No,No,Two year,No,Others,52.85,0
85,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Others,99.3,0
404,0,No,No,20,Yes,No,No,No,No,No,No,Two year,Yes,Others,19.7,0
2455,0,No,No,5,Yes,No,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,89.35,1
5169,0,No,Yes,15,Yes,No,DSL,Yes,No,Yes,No,One year,No,Others,64.85,0
5214,0,Yes,Yes,2,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Others,73.55,1
5141,0,No,No,5,Yes,No,No,No,No,No,No,Month-to-month,Yes,Others,19.25,0
4087,0,No,No,10,Yes,No,No,No,No,No,No,Month-to-month,Yes,Others,20.9,0
4081,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,69.6,1
2885,1,No,No,67,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Others,116.1,0
6333,1,No,No,60,Yes,Yes,Fiber optic,No,No,Yes,Yes,One year,Yes,Electronic check,106.0,1
2881,0,Yes,No,31,Yes,No,DSL,Yes,No,No,Yes,One year,Yes,Electronic check,64.0,0
5960,1,No,No,62,Yes,Yes,Fiber optic,No,No,No,No,One year,No,Electronic check,84.45,0
2974,0,No,No,28,Yes,Yes,Fiber optic,Yes,Yes,No,No,Month-to-month,Yes,Others,94.5,1
2040,0,Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,No,Others,90.55,0
6092,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Others,94.25,0
606,0,Yes,Yes,38,Yes,No,DSL,Yes,No,Yes,Yes,Two year,No,Others,81.0,0
7002,0,Yes,No,64,Yes,Yes,Fiber optic,No,Yes,No,Yes,Two year,Yes,Others,105.4,0
2825,0,No,No,15,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,26.35,0
6118,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,118.2,0
3924,0,Yes,Yes,48,Yes,Yes,Fiber optic,No,No,No,No,One year,Yes,Others,82.05,1
2530,0,No,No,7,Yes,No,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.4,0
1833,0,No,No,1,Yes,No,DSL,Yes,No,No,No,Month-to-month,No,Electronic check,47.95,0
5771,0,No,No,12,Yes,No,No,No,No,No,No,Month-to-month,No,Others,20.4,0
2576,0,Yes,Yes,53,Yes,No,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Others,108.25,0
2010,0,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Others,75.9,1
5024,0,Yes,No,72,Yes,Yes,No,No,No,No,No,Two year,No,Others,25.4,0
890,0,Yes,Yes,31,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,89.3,0
5266,0,Yes,Yes,37,Yes,No,DSL,Yes,No,Yes,Yes,One year,Yes,Others,58.75,0
2655,0,No,Yes,4,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,No,Others,89.6,1
2216,1,No,No,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Others,108.95,0
647,0,Yes,Yes,50,Yes,Yes,DSL,No,No,Yes,Yes,One year,Yes,Electronic check,69.65,0
4505,0,Yes,No,72,Yes,Yes,No,No,No,No,No,Two year,Yes,Others,26.0,0
4338,1,No,No,5,No,No,DSL,No,No,Yes,Yes,Month-to-month,No,Others,45.4,0
5937,1,Yes,No,8,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,84.0,1
3531,0,No,No,16,Yes,No,No,No,No,No,No,One year,No,Others,19.35,0
1263,1,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Others,89.6,1
1949,0,Yes,Yes,67,Yes,Yes,Fiber optic,Yes,No,No,Yes,Two year,No,Others,104.6,0
6583,0,No,No,22,Yes,No,No,No,No,No,No,One year,Yes,Others,19.25,0
125,0,No,No,33,Yes,No,Fiber optic,Yes,No,No,Yes,Two year,Yes,Electronic check,88.95,0
2774,0,No,No,6,Yes,No,DSL,No,No,No,Yes,Month-to-month,No,Others,50.05,0
970,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,90.55,1
2483,1,Yes,Yes,46,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,100.7,1
2444,1,No,No,31,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,99.95,1
4357,0,Yes,No,15,Yes,No,No,No,No,No,No,Month-to-month,No,Others,20.45,0
1870,0,No,No,1,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Others,45.55,0
6638,0,No,No,57,Yes,No,No,No,No,No,No,Two year,No,Others,20.75,0
1087,0,No,No,32,Yes,Yes,Fiber optic,Yes,No,No,Yes,Month-to-month,No,Others,87.65,0
1718,0,No,No,17,Yes,No,No,No,No,No,No,One year,No,Others,19.9,0
1943,0,No,No,1,Yes,Yes,DSL,No,No,No,No,Month-to-month,Yes,Others,49.8,0
4168,0,Yes,No,61,No,No,DSL,Yes,No,Yes,Yes,Two year,Yes,Others,62.15,0
393,0,No,No,19,Yes,No,No,No,No,No,No,Month-to-month,No,Others,19.9,0
1955,0,Yes,Yes,49,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Others,95.4,0
4475,0,No,No,3,Yes,No,No,No,No,No,No,Month-to-month,No,Electronic check,19.55,0
1171,0,Yes,No,60,Yes,No,Fiber optic,No,Yes,No,No,One year,Yes,Electronic check,94.4,1
5286,0,Yes,No,8,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.5,1
544,0,No,No,13,No,No,DSL,Yes,No,No,Yes,Month-to-month,Yes,Others,45.55,1
6617,0,No,No,48,Yes,Yes,DSL,Yes,Yes,Yes,No,One year,Yes,Others,83.45,0
4868,0,Yes,No,37,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,99.5,1
2325,0,Yes,Yes,4,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,19.95,0
6848,0,Yes,No,2,Yes,No,DSL,No,No,Yes,No,Month-to-month,No,Others,69.0,0
364,0,No,No,18,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Others,75.9,0
4623,1,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Others,95.35,0
2344,1,No,No,14,No,No,DSL,Yes,No,Yes,Yes,Two year,No,Others,39.7,0
6769,0,No,No,48,Yes,No,No,No,No,No,No,Two year,No,Others,19.85,0
2853,0,No,No,60,Yes,Yes,Fiber optic,No,No,Yes,No,One year,Yes,Others,79.2,0
4307,1,No,No,37,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,96.55,1
98,0,No,No,52,Yes,No,No,No,No,No,No,Two year,No,Others,21.0,0
5183,1,Yes,Yes,34,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Others,79.6,1
6364,0,No,Yes,27,Yes,Yes,No,No,No,No,No,Two year,Yes,Others,25.85,0
5628,0,No,No,13,Yes,Yes,Fiber optic,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,96.65,1
6026,0,No,No,13,Yes,No,No,No,No,No,No,Month-to-month,No,Others,19.45,0
2117,0,Yes,Yes,72,No,No,DSL,Yes,Yes,Yes,Yes,Two year,No,Others,64.45,0
4187,0,Yes,Yes,36,Yes,No,No,No,No,No,No,Two year,No,Others,20.25,0
1674,0,Yes,Yes,23,Yes,Yes,No,No,No,No,No,Two year,No,Others,25.1,0
1061,1,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Two year,Yes,Electronic check,112.4,0
5175,0,Yes,No,20,Yes,No,No,No,No,No,No,One year,No,Others,20.35,0
1970,0,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,81.1,1
2156,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,80.55,1
987,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,No,Others,19.75,0
5086,0,No,No,45,Yes,No,No,No,No,No,No,One year,Yes,Electronic check,20.4,1
3741,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Others,104.9,0
1729,0,Yes,No,64,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,One year,No,Others,89.45,0
5527,1,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,One year,No,Others,105.0,0
3713,1,Yes,No,46,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,80.4,1
1893,0,No,Yes,16,Yes,Yes,DSL,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,69.1,0
2548,1,No,No,8,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Others,69.95,0
403,0,Yes,No,68,Yes,No,DSL,Yes,No,No,Yes,One year,No,Others,55.9,0
2728,0,No,No,25,No,No,DSL,Yes,Yes,Yes,No,One year,No,Electronic check,61.05,0
3800,0,No,Yes,66,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Two year,Yes,Others,90.95,0
2101,0,Yes,No,37,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,One year,Yes,Electronic check,99.2,1
6322,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,79.0,1
6550,0,Yes,No,21,Yes,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.1,1
5316,0,Yes,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,One year,Yes,Electronic check,93.65,0
2798,0,No,No,10,Yes,No,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,94.9,1
5615,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,Yes,Others,20.2,1
2539,0,Yes,Yes,65,Yes,Yes,No,No,No,No,No,Two year,No,Others,26.0,0
6928,0,Yes,Yes,48,Yes,No,DSL,No,Yes,Yes,No,One year,Yes,Others,55.8,0
4358,0,Yes,Yes,13,Yes,No,DSL,No,No,No,No,One year,Yes,Electronic check,64.75,0
1537,0,Yes,Yes,72,Yes,Yes,DSL,No,Yes,No,Yes,Two year,Yes,Electronic check,78.95,0
5102,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Two year,Yes,Others,110.15,0
1659,0,Yes,Yes,68,Yes,Yes,DSL,No,Yes,No,Yes,Two year,No,Others,70.8,0
2768,0,No,No,12,Yes,No,No,No,No,No,No,One year,No,Others,19.7,0
5885,0,Yes,Yes,23,Yes,Yes,No,No,No,No,No,One year,No,Others,24.35,0
427,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,85.95,0
5259,1,Yes,No,30,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,No,Others,77.9,0
937,0,No,No,6,Yes,Yes,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.05,1
2537,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,No,Others,113.4,0
2494,0,No,No,35,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,No,Others,75.35,1
5264,1,Yes,No,69,No,No,DSL,No,No,Yes,No,One year,Yes,Others,29.8,0
17,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Two year,No,Others,106.7,0
6942,1,No,No,68,Yes,No,No,No,No,No,No,Two year,Yes,Others,20.0,0
3447,0,No,No,39,Yes,Yes,Fiber optic,No,Yes,No,No,One year,No,Others,81.4,0
4068,0,Yes,Yes,14,Yes,No,No,No,No,No,No,One year,Yes,Others,19.5,0
2137,0,Yes,Yes,12,Yes,Yes,No,No,No,No,No,Two year,Yes,Others,25.4,0
5421,0,No,No,38,Yes,No,No,No,No,No,No,Two year,No,Others,20.05,0
5959,0,Yes,Yes,33,Yes,No,No,No,No,No,No,Two year,No,Others,19.8,0
6991,0,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,No,Others,95.65,1
2714,0,No,No,54,Yes,Yes,Fiber optic,No,No,Yes,Yes,Two year,Yes,Others,95.1,0
3201,0,No,No,50,Yes,Yes,DSL,No,Yes,No,Yes,Two year,Yes,Others,79.6,0
6786,0,No,No,11,Yes,No,DSL,Yes,No,No,No,Month-to-month,No,Others,48.55,1
6093,0,Yes,No,71,No,No,DSL,No,No,Yes,Yes,Two year,Yes,Electronic check,47.05,0
4431,0,No,No,18,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,69.8,0
6457,0,Yes,Yes,17,No,No,DSL,Yes,No,Yes,No,One year,No,Others,44.45,0
3026,0,Yes,No,16,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,84.95,1
5493,1,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,84.35,1
1163,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Others,89.75,1
4643,0,No,No,3,Yes,Yes,DSL,No,No,No,Yes,Month-to-month,Yes,Others,65.25,0
4024,0,No,No,7,No,No,DSL,No,No,No,No,Month-to-month,No,Others,25.05,0
3756,0,No,No,1,No,No,DSL,No,No,No,No,Month-to-month,Yes,Others,24.45,1
644,0,Yes,Yes,15,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.25,0
3434,0,No,No,11,Yes,No,DSL,Yes,No,No,Yes,One year,Yes,Others,54.6,0
2464,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,77.15,1
5188,1,Yes,No,30,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,101.5,0
104,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Two year,Yes,Others,110.0,1
2350,0,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,84.0,0
2080,1,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Two year,Yes,Others,84.1,0
1403,0,No,No,8,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,66.25,0
807,0,Yes,No,71,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Two year,Yes,Others,108.55,0
3359,0,No,No,21,Yes,No,No,No,No,No,No,Month-to-month,Yes,Others,19.95,0
14,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,0
6721,0,Yes,Yes,49,Yes,Yes,DSL,No,Yes,No,Yes,Two year,No,Others,79.3,0
5728,0,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,89.4,1
4870,0,No,Yes,48,Yes,Yes,DSL,Yes,Yes,Yes,No,One year,Yes,Others,64.4,0
1185,0,No,No,1,Yes,Yes,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,60.15,1
1951,0,Yes,No,14,Yes,No,DSL,No,No,Yes,No,Month-to-month,No,Others,50.2,0
3485,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Others,73.25,1
6105,0,No,No,52,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,One year,Yes,Others,111.25,1
7005,0,Yes,No,23,Yes,No,No,No,No,No,No,One year,No,Others,19.3,0
6537,0,Yes,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,One year,No,Others,115.65,1
6615,0,No,Yes,9,Yes,No,DSL,No,Yes,No,No,Month-to-month,Yes,Electronic check,50.1,0
6551,0,Yes,No,63,Yes,No,Fiber optic,No,Yes,No,No,One year,Yes,Electronic check,96.0,0
3368,0,No,No,46,Yes,Yes,Fiber optic,No,Yes,Yes,No,One year,Yes,Electronic check,94.15,0
1088,1,Yes,No,17,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Others,100.45,1
4379,0,Yes,No,68,Yes,Yes,Fiber optic,No,No,Yes,No,Two year,Yes,Others,89.95,0
7018,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Others,70.65,1
4086,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,No,Others,79.2,0
4811,0,No,No,4,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Others,46.0,1
6323,0,No,No,40,Yes,Yes,Fiber optic,No,No,Yes,Yes,One year,Yes,Others,105.95,0
2547,0,No,No,52,No,No,DSL,Yes,Yes,No,Yes,Two year,No,Others,39.1,0
5905,0,No,No,1,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.0,0
5867,1,Yes,No,44,Yes,No,No,No,No,No,No,Two year,Yes,Others,19.35,0
3083,0,Yes,Yes,60,Yes,Yes,No,No,No,No,No,One year,No,Others,23.95,0
4895,1,Yes,No,44,Yes,No,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,85.15,0
5664,1,No,No,10,Yes,No,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Others,84.6,1
2039,0,No,No,22,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,79.35,1
2755,0,Yes,No,46,Yes,No,No,No,No,No,No,Month-to-month,No,Electronic check,19.6,0
2416,0,No,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,One year,Yes,Others,100.5,0
3027,0,No,No,8,Yes,No,No,No,No,No,No,Month-to-month,Yes,Others,20.7,0
792,0,Yes,Yes,8,Yes,No,No,No,No,No,No,Two year,Yes,Others,19.85,0
1886,0,Yes,Yes,67,Yes,No,DSL,Yes,No,Yes,Yes,Two year,Yes,Others,60.4,0
419,1,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Others,75.3,1
2857,0,Yes,Yes,47,Yes,No,DSL,No,Yes,No,Yes,Two year,No,Others,63.8,0
1549,0,No,No,1,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Others,45.85,1
4066,0,No,No,56,Yes,Yes,DSL,Yes,Yes,No,Yes,One year,Yes,Others,64.65,0
3908,1,Yes,No,60,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Others,116.05,0
3722,0,No,Yes,23,No,No,DSL,Yes,Yes,No,Yes,One year,No,Others,40.65,0
3476,1,Yes,No,65,Yes,Yes,Fiber optic,Yes,No,No,No,One year,Yes,Electronic check,100.75,0
1418,0,Yes,Yes,67,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Others,89.55,0
3178,0,Yes,No,52,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,No,Electronic check,84.1,1
6716,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Others,74.1,1
2874,0,Yes,No,64,Yes,No,No,No,No,No,No,Two year,No,Others,19.45,0
55,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,95.45,1
2018,0,No,No,1,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Others,45.3,1
2950,0,No,No,4,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,20.2,0
4111,0,No,No,22,Yes,No,DSL,No,Yes,Yes,No,One year,No,Others,65.25,0
5731,0,No,No,10,Yes,No,No,No,No,No,No,Month-to-month,Yes,Others,19.9,0
2804,0,Yes,No,9,No,No,DSL,No,No,No,No,One year,No,Others,24.1,1
3075,0,Yes,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,One year,Yes,Others,105.7,0
4328,0,Yes,No,15,Yes,Yes,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,51.1,0
1811,1,No,No,23,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Others,79.35,0
5285,0,Yes,No,71,Yes,No,DSL,No,Yes,Yes,Yes,Two year,Yes,Others,80.7,0
5192,0,No,Yes,60,Yes,No,No,No,No,No,No,Two year,No,Others,19.95,0
550,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Two year,Yes,Others,110.3,0
4864,0,Yes,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Others,113.15,0
2976,0,No,Yes,19,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Others,24.1,0
2180,1,Yes,No,71,Yes,No,Fiber optic,No,Yes,Yes,Yes,Two year,Yes,Others,95.5,0
5309,0,Yes,No,61,Yes,No,No,No,No,No,No,Two year,No,Others,20.25,0
4158,0,Yes,Yes,39,Yes,Yes,No,No,No,No,No,Two year,No,Others,25.2,0
2263,0,No,No,6,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Others,98.15,1
2564,0,No,No,18,Yes,Yes,DSL,No,No,Yes,Yes,One year,Yes,Others,82.0,1
2122,0,No,No,12,Yes,Yes,DSL,No,No,No,Yes,One year,Yes,Others,75.85,0
2456,0,Yes,Yes,47,Yes,Yes,No,No,No,No,No,Two year,No,Others,24.55,0
